factor,dedup_status
Docx_F1_WTI_Momentum_5d,kept
Docx_F2_Brent_WTI_Spread,kept
Docx_F3_USD_Inv_Ret,kept
Docx_F4_DJIA_Sentiment_10d,kept
Docx_F5_Rig_Count_Neg_Growth,kept
PDF_F1_Diesel_Vol_Mom_20d,kept
PDF_F2_Gas_Vol_Mom_20d,kept
PDF_F3_Gas_Crack_Mom_10d,kept
PDF_F4_Gas_Demand_Strength_5d,kept
PDF_F5_Heating_Vol_Mom_20d,kept
PDF_F6_Heating_Seasonal_15d,kept
PDF_F7_Heating_Crack_Reversal_10d,kept
PDF_F8_Heating_Vol_Regime_5d,kept
PDF_F9_Composite_Product_Mom_20d,removed
PDF_F10_Product_Spread_Div_15d,kept
PDF_F11_Diesel_Gas_Ratio_Mom_10d,kept
PDF_F12_Refinery_Margin_Pressure_20d,kept
PDF_F13_Demand_Structure_Shift_30d,kept
Refinery_Operating_Profitability_Factor_v1,kept
usgc_singapore_margin_spread_factor_v1,kept
Oil Consumption Momentum Factor,kept
diesel_price_volatility_factor_v1,kept
diesel_momentum_factor_10d,kept
