factor_a,factor_b,pearson_r,abs_pearson_r
Docx_F1_WTI_Momentum_5d,Docx_F2_Brent_WTI_Spread,-0.080255,0.080255
Docx_F1_WTI_Momentum_5d,Docx_F3_USD_Inv_Ret,-0.053928,0.053928
Docx_F1_WTI_Momentum_5d,Docx_F4_DJIA_Sentiment_10d,0.123588,0.123588
Docx_F1_WTI_Momentum_5d,Docx_F5_Rig_Count_Neg_Growth,-0.082988,0.082988
Docx_F1_WTI_Momentum_5d,PDF_F1_Diesel_Vol_Mom_20d,0.368313,0.368313
Docx_F1_WTI_Momentum_5d,PDF_F2_Gas_Vol_Mom_20d,0.412925,0.412925
Docx_F1_WTI_Momentum_5d,PDF_F3_Gas_Crack_Mom_10d,-0.038741,0.038741
Docx_F1_WTI_Momentum_5d,PDF_F4_Gas_Demand_Strength_5d,0.596923,0.596923
Docx_F1_WTI_Momentum_5d,PDF_F5_Heating_Vol_Mom_20d,0.362756,0.362756
Docx_F1_WTI_Momentum_5d,PDF_F6_Heating_Seasonal_15d,-0.059588,0.059588
Docx_F1_WTI_Momentum_5d,PDF_F7_Heating_Crack_Reversal_10d,-0.138005,0.138005
Docx_F1_WTI_Momentum_5d,PDF_F8_Heating_Vol_Regime_5d,-0.131766,0.131766
Docx_F1_WTI_Momentum_5d,PDF_F9_Composite_Product_Mom_20d,0.422372,0.422372
Docx_F1_WTI_Momentum_5d,PDF_F10_Product_Spread_Div_15d,-0.10111,0.10111
Docx_F1_WTI_Momentum_5d,PDF_F11_Diesel_Gas_Ratio_Mom_10d,-0.013021,0.013021
Docx_F1_WTI_Momentum_5d,PDF_F12_Refinery_Margin_Pressure_20d,0.118179,0.118179
Docx_F1_WTI_Momentum_5d,PDF_F13_Demand_Structure_Shift_30d,0.000675,0.000675
Docx_F1_WTI_Momentum_5d,Refinery_Operating_Profitability_Factor_v1,-0.095685,0.095685
Docx_F1_WTI_Momentum_5d,usgc_singapore_margin_spread_factor_v1,-0.099793,0.099793
Docx_F1_WTI_Momentum_5d,Oil Consumption Momentum Factor,,
Docx_F1_WTI_Momentum_5d,diesel_price_volatility_factor_v1,0.002172,0.002172
Docx_F1_WTI_Momentum_5d,diesel_momentum_factor_10d,0.610081,0.610081
Docx_F2_Brent_WTI_Spread,Docx_F3_USD_Inv_Ret,-0.037892,0.037892
Docx_F2_Brent_WTI_Spread,Docx_F4_DJIA_Sentiment_10d,0.0067,0.0067
Docx_F2_Brent_WTI_Spread,Docx_F5_Rig_Count_Neg_Growth,0.012185,0.012185
Docx_F2_Brent_WTI_Spread,PDF_F1_Diesel_Vol_Mom_20d,0.010273,0.010273
Docx_F2_Brent_WTI_Spread,PDF_F2_Gas_Vol_Mom_20d,-0.000787,0.000787
Docx_F2_Brent_WTI_Spread,PDF_F3_Gas_Crack_Mom_10d,0.03672,0.03672
